Name,player_id,year,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,b_lob,r_total_caught_stealing,r_total_stolen_base,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,xbadiff,xslgdiff,wobadiff,avg_swing_speed,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,whiff_percent,swing_percent,n_outs_above_average,sprint_speed
 Robbie Grossman,543257,2023,33,353,420,84,50,23,1,10,98,57,23.3,13.6,0.238,0.394,0.34,0.734,49,164,0,1,0.224,0.35,0.323,0.306,0.331,0.126,0.359,0.332,0.014,0.044,0.017,67.2,88.2,20.2,32.3,6.8,5.7,37.3,98.38062326,93.35627665,60.2,13.9,20.1,38.1,-5,27.8
 Yan Gomes,543228,2023,35,382,419,102,70,20,2,10,81,21,19.3,5,0.267,0.408,0.315,0.723,63,170,0,1,0.262,0.409,0.312,0.321,0.317,0.148,0.357,0.369,0.005,-0.001,-0.009,69,87.4,15.1,37,7.8,4.5,36.4,98.49829364,93.34970886,69.1,16.2,24.2,52.5,,26.2
 David Hamilton,666152,2023,25,33,39,4,2,2,0,0,10,6,25.6,15.4,0.121,0.182,0.256,0.438,0,11,1,2,0.15,0.176,0.216,0.227,0.281,0.026,0.185,0.204,-0.029,0.006,-0.011,74,89,17.7,13,0,0,26.1,95.57236333,92.12926652,57,10.2,20.3,43.1,,29.2
 Wilyer Abreu,677800,2023,24,76,85,24,16,6,0,2,23,9,27.1,10.6,0.316,0.474,0.388,0.862,14,29,1,3,0.27,0.484,0.375,0.359,0.348,0.214,0.483,0.459,0.046,-0.01,0.016,74.1,91.3,11.9,35.8,9.4,7.5,49.1,102.6962838,96.01039096,63.7,25,31.7,44.6,-1,26.7
 Jonny DeLuca,676356,2023,24,42,45,11,8,1,0,2,8,3,17.8,6.7,0.262,0.429,0.311,0.74,6,18,0,1,0.217,0.348,0.32,0.271,0.269,0.132,0.362,0.297,0.045,0.081,0.049,70.8,83.7,8.7,32.4,5.9,2.9,17.6,94.42403118,91.21201559,71.4,10.9,25.8,55.7,1,29.7
 Cal Stevenson,670276,2023,26,9,12,0,0,0,0,0,2,3,16.7,25,0,0,0.25,0.25,0,4,0,0,0.128,0.172,0.174,0.271,0.346,0.044,0,0.166,-0.128,-0.172,-0.097,,84.4,15.1,14.3,0,14.3,14.3,94.04245,91.45282857,54.2,7.7,16.7,30.5,,26.2
 Colton Cowser,681297,2023,23,61,77,7,5,2,0,0,22,13,28.6,16.9,0.115,0.148,0.286,0.434,4,21,0,1,0.206,0.277,0.226,0.301,0.358,0.071,0.173,0.317,-0.091,-0.129,-0.075,70.8,87.4,4.6,37.5,2.5,5,42.5,98.6348775,93.48871,61.8,23.4,26.5,40.4,-1,27.9
 Joc Pederson,592626,2023,31,358,425,84,52,14,3,15,89,57,20.9,13.4,0.235,0.416,0.348,0.764,51,162,0,0,0.262,0.479,0.331,0.364,0.372,0.218,0.361,0.412,-0.027,-0.063,-0.033,72.6,92.1,15.2,33.5,12.1,8.5,52.2,103.0099481,96.30544485,66,17.4,24.6,45.2,-4,26.4
 Oscar Colás,693049,2023,24,245,263,53,39,9,0,5,71,12,27,4.6,0.216,0.314,0.257,0.571,19,99,3,4,0.225,0.341,0.249,0.264,0.266,0.116,0.316,0.339,-0.009,-0.027,-0.015,75.5,88.9,7.1,28.1,7.9,5.1,40.4,101.3948844,94.79074244,70,19.8,31.8,53.9,0,27
 Nicky Lopez,670032,2023,28,225,262,52,40,8,3,1,40,26,15.3,9.9,0.231,0.307,0.326,0.633,25,83,2,6,0.234,0.311,0.288,0.292,0.329,0.077,0.279,0.285,-0.003,-0.004,-0.004,65.3,86.7,0.5,32.1,1.1,5.3,23.7,95.31187172,91.71903314,67.9,15.4,22,47.9,,27.7
 Kyle Tucker,663656,2023,26,574,674,163,92,37,5,29,92,80,13.6,11.9,0.284,0.517,0.369,0.886,112,253,5,30,0.292,0.53,0.372,0.386,0.38,0.239,0.393,0.412,-0.008,-0.013,-0.014,71.9,90.2,14.8,35.4,10.6,8.1,45.9,100.798373,94.83113255,71.8,12.6,18.5,47,-5,26.6
 Brian O'Keefe,657247,2023,29,19,21,2,0,2,0,0,7,2,33.3,9.5,0.105,0.211,0.19,0.401,2,12,0,0,0.133,0.216,0.185,0.198,0.215,0.083,0.207,0.231,-0.028,-0.005,-0.013,70.2,93.6,31.6,16.7,0,16.7,50,100.9223033,95.57056417,76.9,40,48.7,51.3,,
 Cal Raleigh,663728,2023,26,513,569,119,65,23,1,30,158,54,27.8,9.5,0.232,0.456,0.306,0.762,75,267,0,0,0.233,0.466,0.326,0.33,0.307,0.233,0.415,0.422,-0.001,-0.01,-0.004,75,89.5,20.3,36.5,12.6,7,41,101.0282714,94.74935487,70.9,21.2,29.9,49.7,,27
 Vinny Capra,681962,2023,26,18,21,3,2,1,0,0,5,2,23.8,9.5,0.167,0.222,0.25,0.472,1,3,0,0,0.188,0.22,0.22,0.23,0.269,0.033,0.231,0.246,-0.021,0.002,-0.01,67.7,78.9,10.1,21.4,0,0,21.4,90.33007857,90.52265385,48.8,19,24.1,34.9,,27.7
 Kris Bryant,592178,2023,31,300,335,70,50,10,0,10,68,29,20.3,8.7,0.233,0.367,0.313,0.68,31,118,0,0,0.245,0.413,0.302,0.323,0.324,0.168,0.33,0.361,-0.012,-0.046,-0.021,69.3,85.7,14.4,34.1,6,7.3,31.5,97.28029043,92.64582259,70,15.8,25,45.9,-4,26.4
 Darick Hall,669742,2023,27,54,56,9,7,1,0,1,18,2,32.1,3.6,0.167,0.241,0.196,0.437,3,30,0,0,0.215,0.299,0.193,0.237,0.243,0.085,0.262,0.33,-0.048,-0.058,-0.044,72,92.5,14,27.8,2.8,11.1,38.9,101.7537756,95.16822167,77.8,17.9,24.1,56.6,,24
 Jesse Winker,608385,2023,29,166,197,33,27,5,0,1,51,26,25.9,13.2,0.199,0.247,0.32,0.567,23,57,0,0,0.204,0.296,0.269,0.287,0.325,0.092,0.276,0.307,-0.005,-0.049,-0.018,69.9,86.8,13.6,33.6,4.3,3.4,31.9,97.51044759,92.77175267,66.7,19.6,25.1,42.6,,23.5
 Curt Casali,592200,2023,34,80,96,14,12,2,0,0,23,11,24,11.5,0.175,0.2,0.29,0.49,6,32,0,0,0.207,0.287,0.239,0.281,0.318,0.08,0.229,0.298,-0.032,-0.087,-0.042,69.3,85.1,21,30,1.7,6.7,26.7,95.73561172,91.95887561,69,17.8,24.7,45.8,,23.8
 Yasmani Grandal,518735,2023,34,363,405,85,63,14,0,8,86,36,21.2,8.9,0.234,0.339,0.309,0.648,33,172,0,0,0.222,0.332,0.288,0.282,0.3,0.11,0.319,0.311,0.012,0.007,0.006,70.7,87.9,10.8,32.3,4.7,4.7,34.4,98.28032964,93.23662509,62.1,17.5,24.9,44.7,,22.8
 TJ Hopkins,686759,2023,26,41,44,7,7,0,0,0,17,2,38.6,4.5,0.171,0.171,0.227,0.398,1,21,0,1,0.179,0.232,0.189,0.214,0.235,0.053,0.257,0.303,-0.008,-0.061,-0.025,70.7,88.7,-1.4,12.5,0,8.3,50,100.3014592,94.50562542,62.2,25.5,34.6,44.8,-1,28.9
 Henry Davis,680779,2023,23,225,255,48,31,10,0,7,69,25,27.1,9.8,0.213,0.351,0.302,0.653,24,123,5,3,0.223,0.344,0.287,0.291,0.311,0.121,0.343,0.348,-0.01,0.007,-0.004,73.1,88.6,12.5,35,7,5.7,41.4,100.6009495,94.58423548,62.8,14.8,27,44.5,-5,28.2
 Harold Castro,605612,2023,29,258,270,65,51,13,0,1,66,9,24.4,3.3,0.252,0.314,0.275,0.589,31,91,0,1,0.242,0.339,0.258,0.263,0.266,0.097,0.326,0.332,0.01,-0.025,-0.005,66.6,86.2,10,38.5,3.1,3.6,28.7,96.10961608,92.13974995,71.1,18,28.6,56.3,-1,26.5
 Andre Lipcius,686531,2023,25,35,38,10,8,1,0,1,8,3,21.1,7.9,0.286,0.4,0.342,0.742,4,16,0,0,0.245,0.368,0.326,0.298,0.305,0.123,0.382,0.342,0.041,0.032,0.028,65.7,87.3,16.7,29.6,0,7.4,29.6,95.892785,92.19134222,74.3,18.2,24.4,47.9,,25
 Connor Wong,657136,2023,27,371,403,87,51,25,2,9,134,22,33.3,5.5,0.235,0.385,0.287,0.672,36,174,2,8,0.211,0.361,0.292,0.274,0.266,0.15,0.409,0.378,0.024,0.024,0.018,71.2,89.1,15.5,34,9.1,5.4,37.8,100.0830713,94.14406672,70.7,22.5,32.3,52.8,,28.3
 Oneil Cruz,665833,2023,24,32,40,8,6,1,0,1,8,7,20,17.5,0.25,0.375,0.375,0.75,4,7,0,3,0.209,0.363,0.335,0.318,0.346,0.154,0.342,0.314,0.041,0.012,0.017,,89.5,10.5,20,4,8,36,101.6460775,94.93950208,62.2,21.7,30.1,45.1,,28.7
 Brandon Lowe,664040,2023,28,377,436,87,50,15,1,21,119,50,27.3,11.5,0.231,0.443,0.328,0.771,68,164,0,7,0.232,0.446,0.334,0.338,0.33,0.214,0.408,0.415,-0.001,-0.003,-0.004,73.2,91.4,16,32.6,10.7,7.3,47.5,101.419436,95.21907709,75.3,19.6,32,51.6,,27.3
 Will Benson,666181,2023,25,287,329,79,45,15,8,11,103,40,31.3,12.2,0.275,0.498,0.365,0.863,31,125,3,19,0.23,0.398,0.369,0.321,0.327,0.168,0.503,0.417,0.045,0.1,0.048,70.3,90.2,14.6,40.5,10.3,9.2,42.2,100.0597357,94.4483867,65.9,23.6,31.5,42.8,-3,28.8
 Will Brennan,686823,2023,25,432,455,115,86,24,0,5,57,16,12.5,3.5,0.266,0.356,0.299,0.655,41,180,5,13,0.286,0.378,0.285,0.305,0.32,0.092,0.307,0.331,-0.02,-0.022,-0.02,68.2,85.7,9.4,35.8,2.4,2.9,29.2,96.4568254,92.24517292,73.4,13.1,18.2,56.6,2,28.3
 Richie Palacios,680700,2023,26,93,102,24,12,6,0,6,11,6,10.8,5.9,0.258,0.516,0.307,0.823,16,32,0,2,0.243,0.414,0.346,0.305,0.293,0.171,0.362,0.312,0.015,0.102,0.041,66.7,88.1,6.3,29.8,7.1,10.7,33.3,96.9596881,92.58340723,66.8,11.9,15.1,45.6,-2,28
 Trent Grisham,663757,2023,26,469,555,93,48,31,1,13,154,75,27.7,13.5,0.198,0.352,0.315,0.667,50,222,3,15,0.215,0.393,0.299,0.32,0.33,0.177,0.343,0.381,-0.017,-0.041,-0.021,70.5,90.3,18.3,32.8,11.9,7.5,40,100.7019274,94.88050397,60.3,22.1,28.3,41.6,7,27.7
 Jarren Duran,680776,2023,26,332,362,98,54,34,2,8,90,24,24.9,6.6,0.295,0.482,0.346,0.828,40,114,2,24,0.268,0.401,0.354,0.319,0.324,0.134,0.447,0.397,0.027,0.081,0.035,73.4,89.9,10.7,32,5.3,9.8,46.3,102.1362776,95.43912893,73.2,13.9,24.6,51.5,-1,29.5
 Roberto Pérez,547379,2023,34,15,17,2,2,0,0,0,6,2,35.3,11.8,0.133,0.133,0.235,0.368,1,7,0,0,0.209,0.284,0.186,0.271,0.308,0.076,0.196,0.367,-0.076,-0.151,-0.085,,90.1,2.2,22.2,0,22.2,33.3,102.5348175,95.26740875,63.9,21.7,29.4,44.2,,
 Liover Peguero,678894,2023,22,198,213,47,35,4,1,7,67,11,31.5,5.2,0.237,0.374,0.28,0.654,26,92,2,6,0.228,0.337,0.284,0.27,0.274,0.109,0.39,0.368,0.009,0.037,0.014,73.1,89.3,4.1,27.6,5.2,3.7,39.6,100.1574878,94.19860504,72.9,20.4,29.4,51.7,,29.3
 Korey Lee,686676,2023,24,65,70,5,3,1,0,1,20,5,28.6,7.1,0.077,0.138,0.143,0.281,3,29,0,0,0.189,0.283,0.134,0.238,0.247,0.094,0.131,0.292,-0.112,-0.145,-0.104,70.3,85.3,8.2,26.7,4.4,0,35.6,96.08243609,92.296326,79.7,23.6,31.4,54.8,,28
 Austin Wynns,642851,2023,32,130,145,27,20,6,0,1,39,9,26.9,6.2,0.208,0.277,0.268,0.545,10,48,0,1,0.183,0.247,0.245,0.224,0.245,0.065,0.295,0.262,0.025,0.03,0.021,68.9,86.7,14.4,27.4,2.1,3.2,27.4,95.85203111,91.95094144,65.3,24.2,27.8,48.2,,24.7
 Josh Donaldson,518626,2023,37,165,189,25,7,5,0,13,50,22,26.5,11.6,0.152,0.418,0.249,0.667,26,89,0,0,0.203,0.471,0.284,0.325,0.294,0.269,0.329,0.395,-0.051,-0.053,-0.041,73.3,92.1,11.7,23.1,16.2,5.1,51.3,102.3879736,95.92084769,64.1,21.8,26.7,44.8,,24.9
 Luis Matos,682641,2023,21,228,253,57,41,13,1,2,33,20,13,7.9,0.25,0.342,0.319,0.661,14,88,0,3,0.258,0.359,0.295,0.304,0.326,0.101,0.297,0.308,-0.008,-0.017,-0.009,72.2,87.1,6.3,38.6,2,7.1,31,97.6154734,92.87026562,69.7,9.4,17.2,46.5,-5,27.7
 Michael Conforto,624424,2023,30,406,470,97,68,14,0,15,106,53,22.6,11.3,0.239,0.384,0.334,0.718,58,194,0,4,0.245,0.416,0.315,0.33,0.341,0.171,0.354,0.377,-0.006,-0.032,-0.015,73,88.9,11.9,31.9,7.9,7.6,39.8,100.098184,94.21797354,69,17.4,24.9,45.3,-2,26.1
 Christian Bethancourt,542194,2023,31,315,332,71,44,16,0,11,91,13,27.4,3.9,0.225,0.381,0.254,0.635,33,126,0,1,0.215,0.376,0.271,0.266,0.244,0.16,0.356,0.348,0.01,0.005,0.005,72.5,88.6,11.3,28.5,7.9,4.4,40.8,99.66221589,94.06572951,77.7,24,36.6,59.6,,27.4
 Livan Soto,670869,2023,23,9,12,2,2,0,0,0,2,3,16.7,25,0.222,0.222,0.417,0.639,0,4,0,0,0.231,0.312,0.321,0.351,0.423,0.081,0.252,0.304,-0.009,-0.09,-0.03,,86,25.5,42.9,0,14.3,28.6,91.9396375,90.66641143,64.7,18.2,16,39.7,,
 Mike Zunino,572287,2023,32,124,140,22,12,7,0,3,61,15,43.6,10.7,0.177,0.306,0.271,0.577,11,67,0,0,0.157,0.269,0.261,0.24,0.254,0.112,0.402,0.356,0.02,0.037,0.021,,85.9,15.1,28.6,7.9,12.7,34.9,99.66800563,93.95386413,61.9,29.6,42.8,46.7,,26
 Jace Peterson,607054,2023,33,374,430,79,59,10,4,6,101,47,23.5,10.9,0.211,0.307,0.304,0.611,37,159,2,15,0.216,0.332,0.275,0.287,0.309,0.117,0.3,0.319,-0.005,-0.025,-0.012,67.6,85.7,14.4,33.5,4.7,6.1,28.1,96.5144975,92.27295816,60.7,15.9,25,42.2,,28
 Aaron Hicks,543305,2023,33,269,312,68,50,9,1,8,69,42,22.1,13.5,0.253,0.383,0.353,0.736,36,112,0,6,0.207,0.304,0.326,0.282,0.315,0.097,0.363,0.294,0.046,0.079,0.044,66.9,85.3,12.6,26.4,4,3.5,29.4,96.66079081,92.3575534,61.2,19.3,25.6,40.3,-3,27.3
 Jose Trevino,624431,2023,30,157,168,33,25,4,0,4,22,8,13.1,4.8,0.21,0.312,0.257,0.569,15,60,0,0,0.245,0.344,0.252,0.279,0.29,0.099,0.26,0.293,-0.035,-0.032,-0.027,67.7,85.8,9.6,30.9,2.9,5.9,31.6,97.02183397,92.54741067,55.1,10.1,16.4,45.6,,24.4
 Jorge Alfaro,595751,2023,30,48,52,7,2,4,0,1,15,2,28.8,3.8,0.146,0.292,0.212,0.504,4,26,0,0,0.209,0.339,0.223,0.27,0.27,0.13,0.265,0.34,-0.063,-0.047,-0.047,76.1,88.9,-6.1,18.2,6.1,6.1,36.4,98.85932588,93.62507515,79.7,9.5,31.5,61.7,,28.5
 Luis Guillorme,641645,2023,28,107,120,24,16,6,1,1,28,10,23.3,8.3,0.224,0.327,0.288,0.615,9,62,0,0,0.193,0.262,0.269,0.236,0.263,0.069,0.314,0.266,0.031,0.065,0.033,65.2,85.9,11.8,31.7,1.2,2.4,25.6,95.16521675,91.66099241,59.3,9.8,17.6,41.4,,25.5
 Manny Piña,444489,2023,36,12,12,3,2,0,0,1,3,0,25,0,0.25,0.5,0.25,0.75,1,5,0,0,0.238,0.383,0.314,0.261,0.238,0.145,0.419,0.348,0.012,0.117,0.053,,85.1,0.9,33.3,0,11.1,22.2,92.890826,91.56824444,64,0,12.5,51.1,,24
 Edouard Julien,666397,2023,24,338,408,89,56,16,1,16,128,64,31.4,15.7,0.263,0.459,0.381,0.84,37,113,0,3,0.233,0.427,0.366,0.345,0.357,0.194,0.483,0.443,0.03,0.032,0.021,71.1,89.5,8,38.8,13.1,7.5,44.9,100.9166366,94.65151014,61.3,22.2,29.1,37.6,,27
 Tommy Pham,502054,2023,35,426,481,109,63,27,3,16,106,47,22,9.8,0.256,0.446,0.328,0.774,68,171,3,22,0.284,0.475,0.332,0.361,0.358,0.191,0.386,0.429,-0.028,-0.029,-0.029,73.8,92.3,5.7,34.4,10.7,7.1,49.1,103.0763058,96.15868595,60.6,14,23.6,40.5,-1,27.8
 Jose Miranda,669304,2023,25,142,152,30,23,4,0,3,24,9,15.8,5.9,0.211,0.303,0.263,0.566,13,67,0,0,0.242,0.345,0.252,0.281,0.292,0.103,0.265,0.303,-0.031,-0.042,-0.029,,87.9,10.1,29.7,4.2,4.2,37.3,98.19095305,93.09921407,73,18.2,25.2,51.7,,26.6
 Billy McKinney,641856,2023,28,128,147,29,19,3,1,6,39,17,26.5,11.6,0.227,0.406,0.32,0.726,14,57,0,1,0.242,0.471,0.315,0.346,0.335,0.229,0.379,0.43,-0.015,-0.065,-0.031,71.3,89.1,12.2,43.3,12.2,5.6,41.1,99.63008689,94.00839967,66.5,21,28.6,44.7,-1,27.1
 Tyrone Taylor,621438,2023,29,231,243,54,26,17,1,10,55,8,22.6,3.3,0.234,0.446,0.267,0.713,35,113,0,9,0.246,0.426,0.302,0.304,0.28,0.18,0.371,0.373,-0.012,0.02,-0.002,69.7,87.7,18.2,33.9,6.8,10.2,39.5,99.37302091,93.75653449,67.2,15.7,24.9,51.9,2,28.8
 Ha-Seong Kim,673490,2023,27,538,626,140,100,23,0,17,124,75,19.8,12,0.26,0.398,0.351,0.749,60,217,9,38,0.245,0.359,0.33,0.313,0.339,0.114,0.36,0.335,0.015,0.039,0.017,67.7,86.2,13.6,36.1,4.2,5.7,26.7,96.56167043,92.28386159,55.1,14.8,17.8,38.9,,28.5
 Francisco Mejía,642336,2023,27,150,160,34,18,11,0,5,38,6,23.8,3.8,0.227,0.4,0.258,0.658,19,64,1,0,0.204,0.319,0.28,0.243,0.238,0.115,0.347,0.296,0.023,0.081,0.037,67.8,87.5,18.9,33,4.3,7,32.2,96.96611509,92.52212123,71.2,16.7,22.1,59.5,,26.3
 Matt Beaty,607461,2023,30,61,72,14,10,4,0,0,14,6,19.4,8.3,0.23,0.295,0.347,0.642,4,30,0,0,0.198,0.249,0.3,0.273,0.321,0.051,0.294,0.252,0.032,0.046,0.027,68.1,82.3,7.5,34,0,4.3,14.9,93.12115,90.7891466,68.8,12.5,21.2,48.7,,25.5
 Bo Bichette,666182,2023,25,571,601,175,122,30,3,20,115,27,19.1,4.5,0.306,0.475,0.339,0.814,73,196,3,5,0.308,0.497,0.349,0.359,0.341,0.189,0.415,0.429,-0.002,-0.022,-0.01,70.1,90.2,6.2,38.3,9.6,6.1,44.9,101.7366819,95.18433055,77.1,13,21.1,56.6,,27.1
 Max Muncy,571970,2023,32,482,579,102,48,17,1,36,153,85,26.4,14.7,0.212,0.475,0.333,0.808,105,269,2,1,0.235,0.504,0.344,0.364,0.353,0.269,0.41,0.443,-0.023,-0.029,-0.02,71.3,91.2,21.7,33.7,14.6,8.4,46.6,101.3153086,95.11269018,57.2,20.8,29.6,39.3,,26.9
 Austin Slater,596103,2023,30,185,207,50,36,9,0,5,58,20,28,9.7,0.27,0.4,0.348,0.748,20,68,2,2,0.255,0.443,0.33,0.338,0.334,0.188,0.417,0.429,0.015,-0.043,-0.008,73.3,91.1,7.5,34.6,11.8,4.7,46.5,101.9106794,95.59155794,63.8,21.3,29.8,42.3,1,27.7
 Jahmai Jones,663330,2023,25,10,11,2,1,1,0,0,5,1,45.5,9.1,0.2,0.3,0.273,0.573,3,5,0,1,0.167,0.302,0.257,0.243,0.243,0.136,0.425,0.394,0.033,-0.002,0.014,72.4,98.7,21.2,20,20,0,80,103.5680133,99.344914,73.1,26.3,30.4,46.9,,
 Andrew McCutchen,457705,2023,36,390,473,100,69,19,0,12,100,75,21.1,15.9,0.256,0.397,0.378,0.775,43,157,3,11,0.257,0.409,0.345,0.353,0.382,0.152,0.369,0.382,-0.001,-0.012,-0.008,71.8,89.6,12.3,33.7,6.8,7.8,44.6,100.3291924,94.60717314,64.4,19.9,27.4,41.6,1,28.4
 J.D. Davis,605204,2023,30,480,546,119,77,23,1,18,152,52,27.8,9.5,0.248,0.412,0.325,0.737,69,241,0,1,0.244,0.411,0.321,0.323,0.325,0.167,0.402,0.405,0.004,0.001,-0.002,72.2,91.1,7.8,33.5,9.6,6.3,45.2,101.4370643,95.25885111,79.1,26.8,34,53.1,,25.8
 Maikel Garcia,672580,2023,23,464,515,126,98,20,4,4,115,38,22.3,7.4,0.272,0.358,0.323,0.681,50,160,7,23,0.274,0.393,0.299,0.319,0.33,0.119,0.35,0.38,-0.002,-0.035,-0.02,69.8,91.8,6.1,36.9,3.9,9.4,50.6,101.5386047,95.50056541,63.6,15.6,19.5,43.1,,28.2
